Ang_Pinnae,Asp_Pinnae
6.5,13.5
9.2,10.0
14.0,9.5
8.0,12.6
7.6,8.0
12.5,8.4
14.2,7.0
8.5,8.0
14.3,15.0
13.0,13.5
12.8,8.0
11.6,18.0
14.2,9.3
13.0,14.0
