Pinnae_length_cm
11.8
7.0
17.5
9.5
16.0
14.5
10.5
10.5
6.0
10.0
12.5
4.5
11.0
11.5
9.5
8.5
10.5
14.5
12.0
15.0
15.5
10.0
11.0
11.0
10.0
7.0
8.0
13.0
8.0
6.0
7.0
12.5
9.0
9.0
10.5
9.5
4.5
12.5
9.0
14.0
11.5
11.5
11.5
14.0
12.0
13.0
7.5
14.5
11.5
11.0
